text	postUrl	commentTimestamp
Decent coffee can’t lie! ☕️	https://www.instagram.com/p/C0oyVRYo9VY/	2023-12-09T17:10:43.000Z
16k camera bro	https://www.instagram.com/p/C0oyVRYo9VY/	2023-12-09T16:15:24.000Z
Price plz🍓	https://www.instagram.com/p/CsawK9iqAo_	2023-09-29T14:02:27.000Z
Hello🍓	https://www.instagram.com/p/CsawK9iqAo_	2023-09-29T14:02:14.000Z
السعر ؟؟	https://www.instagram.com/p/CsawK9iqAo_	2023-06-16T19:16:56.000Z
Try it once you will get in love with it ❤️	https://www.instagram.com/p/CsawK9iqAo_	2023-06-12T19:57:44.000Z
Atyab ahwe jarbouwA	https://www.instagram.com/p/CsawK9iqAo_	2023-05-20T05:45:26.000Z
price please and how much the capsule intenso	https://www.instagram.com/p/CsawK9iqAo_	2023-06-18T10:14:56.000Z
السعر	https://www.instagram.com/p/CsawK9iqAo_	2023-06-17T17:51:01.000Z
@randaali80	https://www.instagram.com/p/CsawK9iqAo_	2023-06-16T18:06:39.000Z
Just Love it ☕	https://www.instagram.com/p/CteF14foKFM	2023-06-17T10:00:56.000Z
Price plz	https://www.instagram.com/p/CtHIIpUILrk	2023-10-24T16:09:43.000Z
Love this coffee 🔥	https://www.instagram.com/p/CtHIIpUILrk	2023-06-12T19:53:56.000Z
